source_record_id,property_code,condition,normalized_value,measured_value,source_unit,normalized_value_si,measured_value_si,si_unit,source_url,source_locator,data_role
NCAMP-T2-1-021,E1c_Msi,RTD,20.04,20.44,Msi,138170936155.08673,140928839072.35394,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-022,E1c_Msi,ETD,20.25,20.0,Msi,139618835186.652,137895145863.36002,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-023,E1c_Msi,ETW,20.37,20.65,Msi,140446206061.83218,142376738103.9192,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-024,nu12c,CTD,,0.362,,,0.362,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-025,nu12c,RTD,,0.356,,,0.356,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-026,nu12c,ETD,,0.374,,,0.374,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-027,nu12c,ETW,,0.383,,,0.383,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-028,F2cu_ksi,CTD,,55.31,ksi,,381349025.8851221,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-029,F2cu_ksi,RTD,,41.44,ksi,,285718742.2288819,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-030,F2cu_ksi,ETW,,19.02,ksi,,131138283.71605536,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-031,E2c_Msi,CTD,,1.53,Msi,,10548978658.54704,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-032,E2c_Msi,RTD,,1.41,Msi,,9721607783.36688,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-033,E2c_Msi,ETW,,1.18,Msi,,8135813605.93824,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
